"Time","Vacancy Rate of Private Residential Units"
"1988Q1",9.7
"1988Q2",7.5
"1988Q3",7.3
"1988Q4",6.1
"1989Q1",5.9
"1989Q2",6.9
"1989Q3",5.9
"1989Q4",5.6
"1990Q1",6.4
"1990Q2",7.0
"1990Q3",7.4
"1990Q4",6.6
"1991Q1",6.7
"1991Q2",7.0
"1991Q3",7.5
"1991Q4",6.4
"1992Q1",7.0
"1992Q2",6.5
"1992Q3",6.4
"1992Q4",7.4
"1993Q1",7.6
"1993Q2",8.1
"1993Q3",8.1
"1993Q4",7.1
"1994Q1",6.6
"1994Q2",6.5
"1994Q3",7.3
"1994Q4",7.0
"1995Q1",5.9
"1995Q2",6.0
"1995Q3",5.8
"1995Q4",5.7
"1996Q1",6.7
"1996Q2",6.2
"1996Q3",5.8
"1996Q4",6.2
"1997Q1",7.2
"1997Q2",8.3
"1997Q3",8.9
"1997Q4",9.0
"1998Q1",8.7
"1998Q2",9.6
"1998Q3",9.7
"1998Q4",9.0
"1999Q1",8.4
"1999Q2",8.3
"1999Q3",7.6
"1999Q4",8.0
"2000Q1",8.5
"2000Q2",9.1
"2000Q3",7.9
"2000Q4",6.9
"2001Q1",6.5
"2001Q2",7.1
"2001Q3",7.6
"2001Q4",8.2
"2002Q1",7.6
"2002Q2",8.3
"2002Q3",8.1
"2002Q4",8.5
"2003Q1",7.6
"2003Q2",7.6
"2003Q3",8.1
"2003Q4",7.7
"2004Q1",8.4
"2004Q2",8.3
"2004Q3",8.5
"2004Q4",8.1
"2005Q1",8.8
"2005Q2",8.7
"2005Q3",8.5
"2005Q4",8.4
"2006Q1",7.4
"2006Q2",6.5
"2006Q3",6.6
"2006Q4",6.1
"2007Q1",5.1
"2007Q2",4.9
"2007Q3",5.4
"2007Q4",5.6
"2008Q1",6.3
"2008Q2",6.1
"2008Q3",5.8
"2008Q4",6.1
"2009Q1",5.9
"2009Q2",5.9
"2009Q3",6.2
"2009Q4",5.0
"2010Q1",4.6
"2010Q2",5.4
"2010Q3",5.2
"2010Q4",5.0
"2011Q1",4.9
"2011Q2",5.1
"2011Q3",5.8
"2011Q4",5.9
"2012Q1",6.0
"2012Q2",5.9
"2012Q3",6.1
"2012Q4",5.4
"2013Q1",5.2
"2013Q2",5.6
"2013Q3",6.1
"2013Q4",6.2
"2014Q1",6.6
"2014Q2",7.1
"2014Q3",7.1
"2014Q4",7.8
"2015Q1",7.2
"2015Q2",7.9
"2015Q3",7.8
"2015Q4",8.1
"2016Q1",7.5
"2016Q2",8.9
,,
,,
"series_id","pt_re_wi_vr"
"series_start_period","1988Q1"
"frequency","Q"
"explanatory_note","The information on vacancy is obtained by observing the utility consumptions of the unit."
